Sr,Zip Code,City,State,Population,Male,Female,Area,Density
858,59102,BILLINGS,MT,47930,22440,25490,14.78,3244
859,6606,BRIDGEPORT,CT,47916,23773,24143,5.29,9056
860,8302,BRIDGETON,NJ,47895,26318,21577,143.08,335
861,20176,LEESBURG,VA,47889,23618,24271,56.98,841
862,95207,STOCKTON,CA,47883,22139,25744,7.26,6599
863,91306,WINNETKA,CA,47879,24592,23287,4.14,11571
864,89074,HENDERSON,NV,47870,23451,24419,8.98,5333
865,58103,FARGO,ND,47859,23709,24150,11.31,4233
866,23434,SUFFOLK,VA,47846,22952,24894,203.4,235
867,10940,MIDDLETOWN,NY,47833,23795,24038,64.89,737
868,32703,APOPKA,FL,47824,23468,24356,50.76,942
869,48219,DETROIT,MI,47821,21550,26271,8.41,5688
870,94014,DALY CITY,CA,47818,23626,24192,6.31,7582
871,48185,WESTLAND,MI,47787,21592,26195,12.17,3928
872,92886,YORBA LINDA,CA,47786,23917,23869,14.73,3245
873,90032,LOS ANGELES,CA,47784,23412,24372,4.77,10024
874,19145,PHILADELPHIA,PA,47776,21735,26041,4.87,9816
875,85201,MESA,AZ,47737,24299,23438,9.32,5120
876,63366,O FALLON,MO,47697,23394,24303,68.75,694
877,1844,METHUEN,MA,47690,23305,24385,22.22,2146
878,1841,LAWRENCE,MA,47676,22854,24822,3.09,15434
879,94550,LIVERMORE,CA,47648,23510,24138,232.73,205
880,60644,CHICAGO,IL,47631,21654,25977,3.5,13593
881,98115,SEATTLE,WA,47611,23671,23940,6.58,7231
882,10950,MONROE,NY,47611,23476,24135,36.4,1308
883,32771,SANFORD,FL,47609,22630,24979,36.18,1316
884,75006,CARROLLTON,TX,47590,23495,24095,16.89,2818
885,18102,ALLENTOWN,PA,47576,22850,24726,3,15875
886,20171,HERNDON,VA,47565,23597,23968,12.1,3930
